id	x	y	riistajalajiNimi
1	278773.659	6980877.55	Metskauris
2	397501.008	7503083.73	Hirvi
3	418353.841	7514104.657	Hirvi
4	488970.827	6722504.397	Valkohntpeura
5	418766.58	7506930.833	Hirvi
6	278789.633	6980862.868	Metskauris
7	323505.118	6952536.295	Metskauris
8	452859.645	7200602.372	Hirvi
9	404833.719	7526045.181	Hirvi
10	312794.513	6964709.571	Hirvi
11	386917.811	6681587.676	Metskauris
12	318557.513	6664615.149	Valkohntpeura
13	452556.021	7200240.048	Hirvi
14	408908.287	7512045.455	Hirvi
15	391558.665	6684417.092	Metskauris
16	315350.601	6663287.248	Metskauris
17	433279.307	7468087.223	Hirvi
18	312350.156	6661986.432	Valkohntpeura
19	370290.355	7059972.264	Metskauris
20	430397.092	7551218.613	Hirvi
21	318761.365	6664510.911	Valkohntpeura
22	358599.563	7069085.631	Metskauris
23	406213.372	7506688.015	Hirvi
24	404284.087	7506791.995	Hirvi
25	430634.763	7500907.544	Hirvi
26	409459.669	7515041.569	Hirvi
27	314998.802	6663019.313	Metskauris
28	400767.662	7530617.378	Hirvi
29	321406.46	6667765.098	Valkohntpeura
30	316725.994	6664149.315	Valkohntpeura
31	322213.742	6668480.56	Hirvi
32	628084.756	7116464.613	Metskauris
33	369706.048	6704045.121	Valkohntpeura
34	598084.044	7107883.671	Metspeura
35	318438.766	6665294.771	Valkohntpeura
36	618709.789	7109536.995	Metspeura
37	597289.899	6988957.836	Hirvi
38	318654.071	6664530.756	Valkohntpeura
39	576150.842	6987165.351	Hirvi
40	610167.945	7109335.787	Metspeura
41	436724.478	7161664.071	Hirvi
42	320096.898	6664145.34	Hirvi
43	585904.573	6997555.579	Hirvi
44	636636.704	7129776.886	Metspeura
45	428688.972	7523064.801	Hirvi
46	320060.197	6664196.708	Valkohntpeura
47	618077.139	7115362.246	Metskauris
48	412277.223	7484468.013	Hirvi
49	314495.645	6662594.028	Valkohntpeura
50	595857.776	7148777.438	Hirvi
51	318456.431	6665304.397	Hirvi
52	595782.932	7148815.624	Hirvi
53	635665.842	7154767.13	Hirvi
54	318568.928	6665367.649	Valkohntpeura
55	636552.157	7129741.346	Metspeura
56	428423.419	7193278.668	Metskauris
57	617821.091	7115659.196	Hirvi
58	423184.233	7504944.74	Hirvi
59	544578.557	6980464.222	Metskauris
60	627159.264	7152166.896	Hirvi
61	423614	7506353.546	Metskauris
62	246400.499	6800707.215	Valkohntpeura
63	392895.526	6695268.022	Valkohntpeura
64	411464.973	7500803.789	Metskauris
65	391413.954	6691380.36	Hirvi
66	243701.257	6802604.719	Metskauris
67	386406.491	6691546.311	Valkohntpeura
68	429981.316	6700700.911	Hirvi
69	431494.213	6695387.547	Metskauris
70	432227.159	6699778.27	Hirvi
71	428477.2	6698175.704	Valkohntpeura
72	413644.679	6688193.156	Villisika
73	430004.162	6701081.939	Valkohntpeura
74	414373.481	6688387.227	Villisika
75	429414.179	6699456.309	Hirvi
76	636952.208	6884434.392	Hirvi
77	394085.537	6697045.737	Metskauris
78	433658.677	6700112.972	Valkohntpeura
79	429674.069	6699872.826	Valkohntpeura
80	645631.058	6864063.28	Metskauris
81	396765.98	6693238.713	Metskauris
82	370108.048	7041166.066	Metspeura
83	257132.671	6793358.034	Metskauris
84	393806.551	6709287.407	Hirvi
85	389384.177	6710237.745	Valkohntpeura
86	249667.963	6798615.559	Valkohntpeura
87	388620.92	6709320.239	Valkohntpeura
88	391642.766	6694490.4	Metskauris
89	253572.391	6795966.781	Hirvi
90	442131.846	7089415.415	Valkohntpeura
91	253564.168	6795973.528	Hirvi
92	244166.542	6802377.557	Valkohntpeura
93	441571.905	6697320.779	Valkohntpeura
94	246358.314	6800796.523	Metskauris
95	251391.888	6805000.305	Metskauris
96	429897.852	7196588.649	Metskauris
97	244174.705	6802371.686	Valkohntpeura
