LEA_NAME,ST,leaid,ST_LEAID,yr,whiteT,blackT,hispanicT,asianT,aianT,multiT,nhpiT,otherT,totalT,aianS,asianS,blackS,hispanicS,multiS,nhpiS,whiteS,otherS,totalS,aianN,asianN,blackN,hispanicN,nhpiN,multiN,whiteN
Lower Kuskokwim School District,AK,200001,AK-31,2017-2018,81.25,1.04,2.78,0.69,14.24,0,0,NA,288,95.77,0.39,0.16,0.37,0.25,0,3.05,NA,4328,4145,17,7,16,0,11,132
Lower Yukon School District,AK,200003,AK-32,2017-2018,58.09,1.47,2.94,12.5,18.38,6.62,0,NA,136,99.45,0.05,0.05,0,0.05,0,0.4,NA,1997,1986,1,1,0,0,1,8
Kashunamiut School District,AK,200005,AK-55,2017-2018,60,0,0,0,36.67,3.33,0,NA,30,99.1,0,0,0,0,0,0.9,NA,333,330,0,0,0,0,0,3
Aleutians East Borough School District,AK,200007,AK-56,2017-2018,78.57,0,3.57,0,17.86,0,0,NA,28,76.39,5.58,0,1.72,2.58,4.29,9.44,NA,233,178,13,0,4,10,6,22
Aleutian Region School District,AK,200010,AK-04,2017-2018,100,0,0,0,0,0,0,NA,4,40.74,0,0,18.52,0,29.63,11.11,NA,27,11,0,0,5,8,0,3
Bering Strait School District,AK,200020,AK-07,2017-2018,93.1,0.57,0,0.57,5.17,0,0.57,NA,174,98.94,0.05,0.05,0,0.1,0,0.86,NA,1981,1960,1,1,0,0,2,17
Bristol Bay Borough School District,AK,200030,AK-08,2017-2018,91.67,0,0,8.33,0,0,0,NA,12,60.16,3.12,0.78,0.78,5.47,0,29.69,NA,128,77,4,1,1,0,7,38
Alaska Gateway School District,AK,200050,AK-03,2017-2018,96.77,3.23,0,0,0,0,0,NA,31,61,1.75,0.5,0,4.25,0,32.5,NA,400,244,7,2,0,0,17,130
Cordova City School District,AK,200060,AK-12,2017-2018,100,0,0,0,0,0,0,NA,25,19.58,18.69,0.3,5.64,4.15,4.75,46.88,NA,337,66,63,1,19,16,14,158
Copper River School District,AK,200070,AK-11,2017-2018,81.48,0,3.7,3.7,3.7,7.41,0,NA,27,41.12,0.47,0.7,2.1,4.91,1.4,49.3,NA,428,176,2,3,9,6,21,211
Craig City School District,AK,200090,AK-13,2017-2018,84.62,0,0,0,15.38,0,0,NA,39,15.93,1.41,0.6,2.22,16.94,0.4,62.5,NA,496,79,7,3,11,2,84,310
Delta-Greely School District,AK,200100,AK-14,2017-2018,98.11,0,1.89,0,0,0,0,NA,53,2.68,0.61,1.22,9.74,4.75,1.22,79.78,NA,821,22,5,10,80,10,39,655
