# 4569 81
Language Region Globe Abbreviation Var1 Var2 Var3 Meaning Word
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 CLOUD(S) !kx'ôe_ǁnàn-sâ
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 RIVER !náu_'|nṵ́m
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 watercourse !náu_'|nṵ́m
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 amniotic_fluid !qhàa
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 rain !qhàa
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 WATER !qhàa
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 CLOUD(S) !qhàa_g|qhūã-tê
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 month !qhàn
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 MOON !qhàn
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 snail !qhàn
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 species_of_plant_(Commelina,_probably_Commelina_Livingstonii) !qhàn
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 FIRE |'àã
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 firewood |'àã
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 NIGHT |nṵ́e
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 lightning |nūle
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 quartzite |nūle
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 STONE/ROCK |nūle
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 DAY/DAYTIME ǁ'ân
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 SUN ǁ'ân
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 thirst ǁ'ân
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 STAR ǁōna
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 star_form_of_a_hedgehog_(also_the_animate_form_of_a_falling_star) ǁōna
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 any_abrasive,_e.g._soap ǂgòa
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 ASH(ES) ǂgòa
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 EARTH/SOIL ǂkx'ûm
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 SAND ǂkx'ûm
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 species_of_plant,_the_roots_of_which_are_roasted_and_then_ground_to_produce_a_medicine_rubbed_into_tatoos ǂkx'ûm
Khoisan Southern_African Southern !Xóõ nmn -24 21.5 world ǂkx'ûm
